class,score
n01531178_11979,2.66187524795532
n01531178_1199,9.45284991757944E-05
n01531178_12015,0.005634023342282
n01531178_12016,0.007578077726066
n01531178_12021,9.04757544049062E-05
n01531178_12033,2.1219027985353E-05
n01531178_12054,0.017131796106696
n01531178_12066,0.000135889349622
n01531178_1212,0.000325626751874
n01531178_1214,3.15015292167664
n01531178_12200,0.411587834358215
n01531178_12207,7.8677821875317E-06
n01531178_12218,0.003403111593798
n01531178_1222,0.001245676190592
n01531178_12231,0.000117891038826
n01531178_12232,0.054166287183762
n01531178_12237,0.000793857092503
n01531178_12243,0.000868420116603
n01531178_12256,0.011124492622912
n01531178_12268,0.014394962228835
n01531178_12293,0.000190239923541
n01531178_12317,3.29012218571734E-05
n01531178_12325,0.007079161237925
n01531178_12332,2.62372350692749
n01531178_12342,0.937563419342041
n01531178_12350,0.00019882133347
n01531178_12354,9.54820789047517E-05
n01531178_12358,0.001160305808298
n01531178_12366,0.000125161925098
n01531178_12390,0.046259112656117
n01531178_12448,0.000344813015545
n01531178_12472,0.009604672901332
n01531178_12486,0.000957269105129
n01531178_125,0.007054540328681
n01531178_12579,0.030698135495186
n01531178_12589,4.87554098071996E-05
n01531178_12592,0.002854322781786
n01531178_12595,0.003661596449092
n01531178_12608,0.000836856605019
n01531178_12671,0.00945211481303
n01531178_12686,0.000484825839521
n01531178_12730,0.000123135614558
n01531178_12734,0.094246074557304
n01531178_12736,0.000711426313501
n01531178_12752,0.005274783819914
n01531178_12753,0.014402364380658
n01531178_12762,0.000711902859621
n01531178_12788,0.000122182056657
n01531178_12790,0.015918083488941
n01531178_12846,0.00133782508783
n01531178_12895,0.001973468577489
n01531178_12971,0.000427750637755
n01531178_12992,0.000391168374335
n01531178_13010,0.00236113043502
n01531178_13047,0.000923683692236
n01531178_13057,0.002753873122856
n01531178_13095,0.003094410523772
n01531178_13159,0.061126913875342
n01531178_1318,0.004670069552958
n01531178_13188,0.007305337581784
n01531178_13196,1.89233577251434
n01531178_13216,1.44242203532485E-05
n01531178_13218,0.019609401002526
n01531178_13223,0.021749900653958
n01531178_13255,0.000110381712148
n01531178_13260,0.068114705383778
n01531178_13268,0.551901578903198
n01531178_13269,0.000184876524145
n01531178_13270,0.031184600666165
n01531178_13274,0.000163422577316
n01531178_13282,0
n01531178_13289,0.00033170444658
n01531178_133,0.425525337457657
n01531178_13301,0.412063300609589
n01531178_13314,0.543064653873444
n01531178_13324,0.002185933990404
n01531178_13327,0.000105017868918
n01531178_13331,0.000613143783994
n01531178_13353,0.013693912886083
n01531178_13358,0.022516427561641
n01531178_13382,0.01195951551199
n01531178_13404,0.031183445826173
n01531178_13428,0.000133267109049
n01531178_13429,0.508944094181061
n01531178_13441,0.079496800899506
n01531178_13456,0.02093293890357
n01531178_13479,0.118158079683781
n01531178_13481,9.89432192000095E-06
n01531178_13497,7.61718329158612E-05
n01531178_13513,0.000798621680588
n01531178_13516,0.00016211149341
n01531178_13528,0.071998290717602
n01531178_13556,0.001620528637432
n01531178_13560,0.00030560590676
n01531178_13581,0.000214196144952
n01531178_13593,0.012095792219043
n01531178_13597,1.62162065505981
n01531178_13619,0.003615986322984
n01531178_13634,0.004086478147656
n01531178_13674,0.000301911553834
n01531178_13704,0.002358395140618
n01531178_1373,0.000563939334825
n01531178_1376,0.00158720347099
n01531178_13762,0.001277822069824
n01531178_13783,0.067311592400074
n01531178_13889,0.011454059742391
n01531178_1390,0.003911108709872
n01531178_13904,0.000591818185057
n01531178_13924,2.08614073926583E-05
n01531178_13929,0.008706466294825
n01531178_13949,0.079891204833984
n01531178_13965,0.000107640196802
n01531178_13984,0.00016330339713
n01531178_14,0.00090069725411
n01531178_14016,0.00592878786847
n01531178_14023,0.004727021791041
n01531178_14061,0.010013346560299
n01531178_14122,0.004003487061709
n01531178_14191,0.100872509181499
n01531178_14195,4.74441731057595E-05
n01531178_14211,0.000718692899682
n01531178_14220,0.01253170426935
n01531178_14224,0.000141610609717
n01531178_1424,0.00128317961935
n01531178_14342,0.026800429448485
n01531178_14345,0.000168547732756
n01531178_14374,0.003663378069177
n01531178_1438,0.285332322120667
n01531178_14394,4.05303362640552E-05
n01531178_14396,9.17907345865388E-06
n01531178_14398,0.000101561156043
n01531178_14416,5.37619453098159E-05
n01531178_14459,0.001006335136481
n01531178_14470,0.034859467297793
n01531178_14534,0.014371460303664
n01531178_14597,0.012725930660963
n01531178_14614,0.00016568719002
n01531178_14626,0.000281771062873
n01531178_14677,0.006429344415665
