class,score
n01530575_10372,0.00104522705078125
n01530575_10374,-0.0
n01530575_10385,5.7220458984375e-06
n01530575_10388,4.2975311279296875
n01530575_10395,0.02170562744140625
n01530575_10396,-0.0
n01530575_1040,1.0226898193359375
n01530575_10401,7.62939453125e-06
n01530575_10406,-0.0
n01530575_10412,1.9073486328125e-05
n01530575_10414,-0.0
n01530575_10421,-0.0
n01530575_10425,0.0002346038818359375
n01530575_10427,0.05573272705078125
n01530575_10433,7.62939453125e-06
n01530575_10434,0.0019397735595703125
n01530575_10436,0.0002574920654296875
n01530575_10447,-0.0
n01530575_10450,0.3443794250488281
n01530575_10453,0.0001983642578125
n01530575_10459,0.4653892517089844
n01530575_10462,0.06699943542480469
n01530575_10463,0.03175163269042969
n01530575_10465,0.022296905517578125
n01530575_10470,0.000537872314453125
n01530575_10471,0.44092559814453125
n01530575_10473,0.000492095947265625
n01530575_10474,4.57763671875e-05
n01530575_10475,0.0002117156982421875
n01530575_10476,0.004894256591796875
n01530575_10477,0.01717376708984375
n01530575_10479,0.023344039916992188
n01530575_10482,0.0007038116455078125
n01530575_10483,1.52587890625e-05
n01530575_10485,-0.0
n01530575_10487,0.28734397888183594
n01530575_1049,3.814697265625e-06
n01530575_10492,-0.0
n01530575_10494,4.822940826416016
n01530575_10499,0.056682586669921875
n01530575_10501,-0.0
n01530575_10503,4.725187301635742
n01530575_10505,-0.0
n01530575_10506,0.7712688446044922
n01530575_10513,0.11480140686035156
n01530575_10515,2.288818359375e-05
n01530575_10516,3.814697265625e-05
n01530575_10517,0.000698089599609375
n01530575_10518,9.1552734375e-05
n01530575_10520,5.7220458984375e-05
n01530575_10521,0.0003490447998046875
n01530575_10522,0.00585174560546875
n01530575_10524,1.5170793533325195
n01530575_10525,-0.0
n01530575_10526,1.9073486328125e-05
n01530575_10527,-0.0
n01530575_10529,1.1444091796875e-05
n01530575_10531,0.0060634613037109375
n01530575_10533,0.03508186340332031
n01530575_10534,0.001972198486328125
n01530575_10535,0.0062007904052734375
n01530575_10537,0.4614372253417969
n01530575_10538,1.33514404296875e-05
n01530575_10542,7.62939453125e-06
n01530575_10547,0.00379180908203125
n01530575_10548,0.28346824645996094
n01530575_10553,3.4332275390625e-05
n01530575_10554,0.0006999969482421875
n01530575_10558,0.5132017135620117
n01530575_10566,-0.0
n01530575_10569,2.5592336654663086
